Majority protein IDs,Protein names,Gene names,ORF,Peptides,Unique peptides,Sequence coverage [%],PEP,Copy number
Q02805,Protein ROD1,ROD1,YOR018W,11,11,20.1,2.88E-96,270.1027444
Q03954,DASH complex subunit SPC19,SPC19,YDR201W,4,4,36.4,1.86E-47,270.1859261
P47069,Spindle pole body assembly component MPS3,MPS3,YJL019W,11,11,17.6,6.58E-41,270.1918973
Q00916,U1 small nuclear ribonucleoprotein 70 kDa homolog,SNP1,YIL061C,5,5,24.3,4.19E-51,270.7852081
P40454,Serine/threonine-protein phosphatase 2A activator 1,RRD1,YIL153W,4,4,13.7,4.48E-11,270.8708905
P26725,Probable mannosyltransferase YUR1,YUR1,YJL139C,5,5,17.3,1.15E-25,271.091942
P38355,Uncharacterized transporter YBR287W,,YBR287W,1,1,4.2,1.19E-24,271.1635329
P54867,Protein SLG1,SLG1,YOR008C,5,5,25.4,6.95E-47,271.3176828
P38994,Probable phosphatidylinositol 4-phosphate 5-kinase MSS4,MSS4,YDR208W,12,12,17.5,1.79E-60,271.677797
P38271,Protein OPY1,OPY1,YBR129C,6,6,22.9,2.22E-43,271.6820853
P32048,"Lysine--tRNA ligase, mitochondrial",MSK1,YNL073W,10,10,25.9,7.04E-66,272.5101201
P39722,Mitochondrial Rho GTPase 1,GEM1,YAL048C,16,16,30.5,9.46E-74,272.9798584
P32494,Chromatin-remodeling complexes subunit NGG1,NGG1,YDR176W,14,14,26.2,6.70E-96,273.0393531
P38877,Chromosome transmission fidelity protein 8,CTF8,YHR191C,3,3,21.1,2.19E-07,273.1979935
P25344,Protein STE50,STE50,YCL032W,4,4,14.2,1.82E-28,273.4264918
P53191,Phosphatidylinositol 3-phosphate-binding protein 2,PIB2,YGL023C,12,12,29.6,1.51E-91,273.4881441
P38915,Transcription factor SPT8,SPT8,YLR055C,6,6,11.8,3.42E-29,273.7668279
Q04213,ISWI one complex protein 4,IOC4,YMR044W,7,7,13.7,1.30E-20,273.9827994
Q02733,Increased recombination centers protein 15,IRC15,YPL017C,7,7,17.8,1.13E-26,274.0566994
Q08967,Flavin carrier protein 1,FLC1,YPL221W,7,7,12.7,3.54E-45,274.7000538
P32345,Serine/threonine-protein phosphatase 4 catalytic subunit,PPH3,YDR075W,4,4,15.3,3.47E-34,274.7218593
P20053,U4/U6 small nuclear ribonucleoprotein PRP4,PRP4,YPR178W,6,6,21.1,2.39E-37,275.0389979
P22134,DNA-3-methyladenine glycosylase,MAG1,YER142C,12,12,47.6,7.12E-41,275.3086363
P54007,Uncharacterized protein YLR460C,,YLR460C,8,7,21.5,1.40E-32,276.284222
Q03308,Vacuolar protein sorting-associated protein 16,VPS16,YPL045W,14,14,21.1,1.23E-60,276.8014792
P23394,Pre-mRNA-splicing ATP-dependent RNA helicase PRP28,PRP28,YDR243C,11,11,26.2,1.18E-53,277.1165552
P38198,Protein STU1,STU1,YBL034C,34,34,28.3,4.07E-167,277.3912049
Q05672,RNA-binding suppressor of PAS kinase protein 1,RBS1,YDL189W,6,6,16.6,1.78E-16,277.464415
P53237,Protein LST7,LST7,YGR057C,3,3,20.7,8.25E-56,277.9277909
Q08966,PHO85 cyclin-8,PCL8,YPL219W,9,9,32.5,3.90E-52,278.6542617
P50946,Putative tyrosine-protein phosphatase OCA1,OCA1,YNL099C,1,1,4.2,0.00027088,278.7649855
P40015,Inositol phosphosphingolipids phospholipase C,ISC1,YER019W,3,3,9.2,2.99E-36,279.2931027
P54785,Transcriptional activator/repressor MOT3,MOT3,YMR070W,5,5,15.7,2.72E-30,279.4565929
Q12134,Protein HUA2,HUA2,YOR284W,4,4,22.2,1.70E-26,280.4604739
P53917,Factor arrest protein 11,FAR11,YNL127W,19,19,25.2,7.38E-90,280.4755256
P36517,"54S ribosomal protein L4, mitochondrial",MRPL4,YLR439W,3,3,11,1.94E-16,281.0824696
P54857,Lipase 2,TGL2,YDR058C,8,8,30.1,7.30E-35,281.2538408
P11325,"Leucine--tRNA ligase, mitochondrial",NAM2,YLR382C,21,21,24.4,5.11E-67,281.694435
P38085,Valine/tyrosine/tryptophan amino-acid permease 1,TAT1,YBR069C,6,6,14.7,1.63E-47,281.9265387
P23900,Glycerol uptake/efflux facilitator protein,FPS1,YLL043W,2,2,6,6.77E-26,282.3131967
P49955,U2 snRNP component HSH155,HSH155,YMR288W,10,10,12.7,6.45E-85,283.7099883
P36532,"54S ribosomal protein L37, mitochondrial",MRPL37,YBR268W,3,3,32.4,1.83E-10,283.7257981
P22204,Cell cycle protein kinase DBF2,DBF2,YGR092W,7,7,15.7,9.21E-37,283.8268438
P38177,Uncharacterized protein YBL086C,,YBL086C,9,9,30,3.79E-60,283.9687559
Q02948,Vacuolar protein sorting-associated protein 30,VPS30,YPL120W,10,10,26.6,1.16E-82,284.2390577
P38863,Spindle pole body component SPC97,SPC97,YHR172W,14,14,24.4,7.51E-85,284.5597585
Q12071,Vacuolar protein sorting-associated protein 54,VPS54,YDR027C,17,17,20.1,2.28E-83,285.3701946
Q03981,COP9 signalosome complex subunit 9,CSN9,YDR179C,4,4,29,1.84E-19,286.1950586
Q06632,Protein CFT1,CFT1,YDR301W,25,25,24.9,3.15E-142,286.294258
P08425,"Phenylalanine--tRNA ligase, mitochondrial",MSF1,YPR047W,9,9,21.5,2.74E-36,287.5168087
P33312,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5-phosphate reductase",RIB7,YBR153W,3,3,16.8,2.04E-25,287.6194971
P38306,Uncharacterized protein YBR197C,,YBR197C,5,5,38.2,1.74E-39,287.9726677
P14359,Protein SNA3,SNA3,YJL151C,1,1,6,0.0034911,288.1449002
P40359,DNA replication complex GINS protein PSF2,PSF2,YJL072C,3,3,27.7,2.50E-35,288.2722551
Q8J0M4,UPF0357 protein YCL012C,,YCL012C,2,2,14.2,8.30E-06,288.5017898
P53294,tRNA pseudouridine(31) synthase,PUS6,YGR169C,8,8,29,5.02E-41,289.4360752
P40433,6-phosphofructo-2-kinase 1,PFK26,YIL107C,11,11,18.9,7.59E-97,289.466425
P36169,Suppressor of lethality of KEX2 GAS1 double null mutant protein 1,SKG1,YKR100C,8,8,36.6,2.34E-58,289.5305224
Q12146,DNA replication complex GINS protein PSF3,PSF3,YOL146W,2,2,18.6,2.50E-14,289.6032533
P32611,"54S ribosomal protein RML2, mitochondrial",RML2,YEL050C,4,4,11.7,1.31E-17,290.0085605
P19736,Pre-mRNA-splicing factor PRP9,PRP9,YDL030W,10,10,23.2,2.31E-58,290.8530118
P38989,Structural maintenance of chromosomes protein 2,SMC2,YFR031C,28,28,28.4,2.57E-172,290.8982642
P36165,Lipase 4,TGL4,YKR089C,16,16,21.2,4.32E-102,292.8351433
P39719,Flavin carrier protein 2,FLC2,YAL053W,12,12,19.5,7.80E-60,293.382116
P32571,Ubiquitin carboxyl-terminal hydrolase 4,DOA4,YDR069C,15,15,26.1,5.63E-123,294.3967585
Q03441,Sporulation protein RMD1,RMD1,YDL001W,6,6,17.9,3.68E-50,295.5436193
P39925,Mitochondrial respiratory chain complexes assembly protein AFG3,AFG3,YER017C,7,6,11.4,2.91E-63,296.7514307
P38745,Uncharacterized membrane protein YHL071W,YHL017W,YHL017W,3,3,8.6,1.03E-44,296.90005
P38812,"Phosphatidylglycerophosphatase GEP4, mitochondrial",GEP4,YHR100C,2,2,18.9,5.65E-20,297.0263539
Q12143,Kinetochore-associated protein NSL1,NSL1,YPL233W,4,4,23.6,5.35E-27,297.1889647
P53273,Uncharacterized vacuolar membrane protein YGR125W,,YGR125W,10,10,13,1.61E-59,297.388236
Q06408,Transaminated amino acid decarboxylase,ARO10,YDR380W,11,11,19.7,8.94E-62,297.6816961
Q01919,Serine/threonine-protein kinase KIN4,KIN4,YOR233W,14,13,27.6,6.94E-64,298.228967
Q03776,U1 small nuclear ribonucleoprotein component PRP42,PRP42,YDR235W,12,12,23.3,1.42E-65,298.3303076
P24004,Peroxisomal ATPase PEX1,PEX1,YKL197C,16,16,22.5,1.07E-176,298.3389809
P06701,Regulatory protein SIR3,SIR3,YLR442C,17,17,22.3,5.67E-117,298.4964876
Q99186,AP-2 complex subunit mu,APM4,YOL062C,9,9,24.4,2.43E-49,298.4974973
Q06001,Factor arrest protein 10,FAR10,YLR238W,10,10,25.5,9.34E-36,298.6045989
P33310,"ATP-dependent permease MDL1, mitochondrial",MDL1,YLR188W,10,10,17,1.01E-67,298.8006786
Q07468,Vacuolar morphogenesis protein 6,VAM6,YDL077C,19,19,25,8.43E-158,299.7479605
Q12347,F-box protein HRT3,HRT3,YLR097C,8,8,27,3.10E-30,300.0095802
P38165,Retrograde regulation protein 3,RTG3,YBL103C,6,6,22.2,7.42E-61,300.0523293
Q04299,Probable ADP-ribose 1-phosphate phosphatase YML087W,,YMR087W,4,4,22.9,6.70E-22,300.8683708
P36027,Cell wall integrity sensor MID2,MID2,YLR332W,3,3,8.2,2.02E-13,300.9071267
Q12069,"tRNA pseudouridine(32) synthase, mitochondrial",PUS9,YDL036C,4,4,12.8,3.08E-36,301.0705981
P53865,Chaotic nuclear migration protein 67,CNM67,YNL225C,12,12,27.9,2.11E-45,301.4171748
P39008,Poly(A) ribonuclease POP2,POP2,YNR052C,3,3,7.9,1.03E-15,301.8369827
P38079,Protein YRO2,YRO2,YBR054W,4,3,7.8,1.33E-27,301.8408018
Q12102,Cleavage factor two protein 2,CFT2,YLR115W,15,15,20.3,4.19E-114,301.9321852
P25366,Protein OCA4,OCA4,YCR095C,6,6,24.3,4.65E-35,301.9768634
Q08773,ISWI chromatin-remodeling complex ATPase ISW2,ISW2,YOR304W,22,22,23.2,5.57E-118,302.2588118
P34111,Transcription factor tau 138 kDa subunit,TFC3,YAL001C,21,21,23.2,1.10E-121,302.384466
Q02521,Pre-mRNA-splicing factor SPP2,SPP2,YOR148C,4,4,29.7,1.16E-31,302.6189434
Q12292,Autophagy-related protein 34,ATG34,YOL083W,11,11,32.5,7.46E-49,302.7845893
Q06333,Biogenesis of lysosome-related organelles complex 1 subunit CNL1,CLN1,YDR357C,4,4,47.5,3.92E-23,303.100442
P36108,DOA4-independent degradation protein 4,DID4,YKL002W,2,2,7.8,1.38E-07,303.5495592
Q05809,Cytochrome oxidase assembly factor 4,COA4,YLR218C,2,2,29.2,1.04E-07,303.9620592
P40071,Transmembrane 9 superfamily member 3,TMN3,YER113C,10,10,20.4,2.31E-41,304.333206
P06784,Serine/threonine-protein kinase STE7,STE7,YDL159W,8,8,24.7,1.21E-56,305.0326549
P08536,Sulfate adenylyltransferase,MET3,YJR010W,5,5,20.7,8.85E-59,305.6795799
Q03373,Down-regulator of invasive growth 2,DIG2,YDR480W,6,6,20.7,6.10E-38,305.8037926
Q06623,HDA1 complex subunit 3,HDA3,YPR179C,14,14,32.8,1.81E-80,306.2299217
P43567,Alanine--glyoxylate aminotransferase 1,AGX1,YFL030W,5,5,19.2,5.86E-24,306.3874488
P39535,Low-affinity phosphate transporter PHO90,PHO90,YJL198W,12,12,20.4,4.66E-111,306.4395972
P53949,Tyrosine-protein phosphatase-like protein OCA2,OCA2,YNL056W,2,2,11.7,2.43E-12,306.4526858
P19812,E3 ubiquitin-protein ligase UBR1,UBR1,YGR184C,23,23,16.7,4.13E-140,306.5415347
P38336,RNases MRP/P 32.9 kDa subunit,POP4,YBR257W,8,8,24,1.02E-65,307.1086814
P42939,Multivesicular body sorting factor 12,MVB12,YGR206W,3,3,48.5,2.69E-23,307.2815461
Q92325,Longevity-assurance protein 2,LAG2,YOL025W,8,8,12.1,3.68E-69,308.1038149
P39521,Pre-rRNA-processing protein FHL1,FHL1,YPR104C,17,17,26.3,3.98E-179,308.1828707
Q03920,eRF1 methyltransferase catalytic subunit MTQ2,MTQ2,YDR140W,4,4,20.4,3.55E-21,309.2606513
Q12084,Putative uridine kinase DAS2,DAS2,YDR020C,3,3,11.6,6.64E-12,309.6547791
Q05937,Zinc finger protein STP3,STP3,YLR375W,6,6,29.2,1.16E-37,310.1449603
P38959,Vacuolar protein sorting-associated protein 41,VPS41,YDR080W,20,20,26.3,7.40E-75,310.5365085
Q07084,Osomolarity two-component system protein SSK1,SSK1,YLR006C,17,17,36,7.55E-153,310.85737
Q12049,Protein THP3,THP3,YPR045C,8,8,23.4,5.68E-43,311.0060715
Q3E7Y6,N-terminal-borealin-like protein,NBL1,YHR199C-A,3,3,39.7,2.35E-16,311.0110788
Q03780,Uncharacterized protein YDR239C,YDR239C,YDR239C,15,15,25.2,1.71E-109,311.1498603
Q04212,D-arabinose 1-dehydrogenase,ARA2,YMR041C,6,6,25.1,6.41E-37,311.5796537
P40107,GDP-mannose transporter 1,VRG4,YGL225W,1,1,2.4,0.00077021,311.6564193
P40476,Pheromone-regulated membrane protein 5,PRM5,YIL117C,5,5,21.7,4.05E-38,312.2808237
Q12481,rRNA biogenesis protein RRP36,RRP36,YOR287C,7,7,17,9.78E-20,312.3230838
Q02939,RNA polymerase II transcription factor B subunit 2,TFB2,YPL122C,10,10,21.8,1.76E-42,313.0463113
Q08986,S-adenosylmethionine permease SAM3,SAM3,YPL274W,5,5,11.6,3.16E-56,313.1457469
P38826,Origin recognition complex subunit 6,ORC6,YHR118C,10,10,26.2,8.42E-49,313.4122594
P69852,DASH complex subunit HSK3,HSK3,YKL138C-A,2,2,27.5,4.02E-09,313.6974988
P06775,Histidine permease,HIP1,YGR191W,8,8,19.2,8.83E-58,313.8462861
Q02770,Peptidyl-prolyl isomerase CWC27,CWC27,YPL064C,5,5,21.6,3.79E-49,314.0505308
P48527,"Tyrosine--tRNA ligase, mitochondrial",MSY1,YPL097W,5,5,20.1,5.08E-35,314.4579588
P22543,Phosphatidylinositol 3-kinase VPS34,VPS34,YLR240W,15,15,24.7,7.53E-95,314.8283006
Q04199,Chromatin assembly factor 1 subunit p60,CAC2,YML102W,5,5,22.2,2.68E-38,316.0550839
Q12368,23 kDa U4/U6.U5 small nuclear ribonucleoprotein component,SNU23,YDL098C,5,5,32.5,1.71E-22,316.1311947
Q04406,Early meiotic induction protein 1,EMI1,YDR512C,2,2,16,5.94E-32,316.2869468
P46677,Transcription initiation factor TFIID subunit 1,TAF1,YGR274C,20,20,21.6,9.56E-145,316.4814747
P08678,Adenylate cyclase,CYR1,YJL005W,34,34,26.3,1.53E-270,317.7873018
P36124,SET domain-containing protein 3,SET3,YKR029C,15,15,28.6,2.65E-73,318.6379572
P39732,GLC7-interacting protein 4,GIP4,YAL031C,13,13,23.8,2.85E-54,318.7125731
P53870,Uncharacterized protein YNL193W,,YNL193W,7,7,16.8,7.91E-92,318.8016087
P14772,Bile pigment transporter 1,BPT1,YLL015W,20,18,19,4.36E-154,318.9434293
P27351,AP-2 complex subunit beta,APL1,YJR005W,9,9,15.1,4.48E-101,319.2951493
P40088,Plasma membrane iron permease,FTR1,YER145C,1,1,2.2,0.0001901,320.6590343
P36084,Splicing factor MUD2,MUD2,YKL074C,9,9,15.7,2.01E-33,321.3198563
P36103,Uncharacterized protein YKL023W,YKL023W,YKL023W,7,7,38.6,4.07E-70,321.6202782
P42838,Alkylphosphocholine resistance protein LEM3,LEM3,YNL323W,4,4,12.3,2.46E-18,322.0708806
P54790,Origin recognition complex subunit 3,ORC3,YLL004W,14,14,30.4,1.88E-77,322.4879868
P28320,Protein CWC16,YJU2,YKL095W,3,3,16.5,1.31E-31,322.9353401
Q12489,Uncharacterized protein YDL012C,,YDL012C,1,1,11.2,2.59E-05,323.1909053
P46670,Tubulin-specific chaperone C,CIN2,YPL241C,5,5,22.8,8.77E-26,323.702655
P54070,Mannosyltransferase KTR6,KTR6,YPL053C,7,7,23.3,4.55E-30,324.0952074
Q08219,Regulator of rDNA transcription protein 8,RRT8,YOL048C,4,4,18.7,9.58E-62,325.1732836
P13181,Galactose transporter,GAL2,YLR081W,1,1,2.4,4.48E-18,325.3527119
P46949,Protein FYV8,FYV8,YGR196C,15,15,27.4,2.55E-125,326.3184218
Q08921,Target of rapamycin complex 1 subunit TCO89,TCO89,YPL180W,11,11,20.7,1.92E-85,326.3925051
Q03338,U4/U6 small nuclear ribonucleoprotein PRP3,PRP3,YDR473C,12,12,34.3,8.03E-74,326.4113532
P35724,Manganese resistance protein MNR2,MNR2,YKL064W,7,7,12.2,6.47E-66,326.7210305
P53899,AN1-type zinc finger protein YNL155W,,YNL155W,6,6,24.8,2.44E-40,326.7301039
P46957,DNA polymerase delta small subunit,POL31,YJR006W,10,10,25.9,5.28E-51,327.7680319
P41806,Vacuolar ATPase assembly integral membrane protein VMA21,VMA21,YGR105W,1,1,14.3,0.00034155,327.8316945
P53851,Protein TEX1,TEX1,YNL253W,8,8,21.6,8.39E-37,328.0610644
P47110,DNA polymerase delta subunit 3,POL32,YJR043C,8,8,29.4,3.20E-37,328.9978648
P50264,Polyamine oxidase FMS1,FMS1,YMR020W,7,7,22.6,1.52E-76,329.5048747
P32784,Glycerol-3-phosphate O-acyltransferase 1,SCT1,YBL011W,14,14,22.8,1.06E-82,329.6805309
Q06137,"Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase",YLR345W,YLR345W,10,10,24,1.46E-88,330.132624
P39994,Putative 2-hydroxyacyl-CoA lyase,YEL020C,YEL020C,13,13,32.5,2.24E-77,330.4118215
P38811,Transcription-associated protein 1,TRA1,YHR099W,66,66,22.5,0,330.5615742
P47136,Bud site selection protein 4,BUD4,YJR092W,27,27,26.1,1.86E-170,330.7281749
P47015,"Altered inheritance of mitochondria protein 23, mitochondrial",AIM23,YJL131C,11,11,38.5,6.67E-34,331.3888738
Q06407,Rho-type GTPase-activating protein 2,RGA2,YDR379W,26,26,33.2,1.71E-228,331.7340787
P40547,Vacuolar import and degradation protein 28,VID28,YIL017C,21,21,24.5,4.99E-83,333.0373866
P53104,Serine/threonine-protein kinase ATG1,ATG1,YGL180W,18,18,30.2,9.08E-120,333.7250902
P28791,Protein transport protein SEC20,SEC20,YDR498C,8,8,21.9,1.63E-103,333.7551726
Q03944,Vacuolar protein sorting-associated protein 64,VPS64,YDR200C,9,9,16.7,2.87E-69,334.564874
P20795,Vacuolar protein sorting-associated protein 33,VPS33,YLR396C,11,11,20.1,7.90E-71,334.6476219
Q02197,"N-alpha-acetyltransferase, 35 NatC auxiliary subunit",MAK10,YEL053C,12,12,22,2.81E-97,334.9889172
Q12051,Geranylgeranyl pyrophosphate synthase,BTS1,YPL069C,6,6,23.9,5.41E-51,335.0108083
Q02554,Cold sensitive U2 snRNA suppressor 1,CUS1,YMR240C,14,14,38.3,2.01E-70,335.3026209
Q12403,Protein ERP3,ERP3,YDL018C,2,2,8,7.83E-07,335.8493357
P38089,Protein phosphatase 2C homolog 4,PTC4,YBR125C,5,5,18.6,8.43E-29,336.5704146
P30952,"Malate synthase 1, glyoxysomal",MLS1,YNL117W,8,7,13.9,9.39E-53,336.6710322
P36116,Vacuolar protein sorting-associated protein 51,VPS51,YKR020W,7,7,50,1.96E-27,337.0622435
P36034,Protein COS9,COS9,YKL219W,7,6,25.6,1.41E-65,337.4971162
Q08932,Ribosome assembly 1 protein,RSA1,YPL193W,8,8,27.3,4.97E-52,339.5554597
P40152,Putative metallophosphoesterase YNL217W,,YNL217W,5,5,18.7,3.14E-34,339.9147539
Q06321,Sterol 3-beta-glucosyltransferase,ATG26,YLR189C,20,20,24.1,1.18E-141,339.9388995
P53010,PAB-dependent poly(A)-specific ribonuclease subunit PAN2,PAN2,YGL094C,16,16,19.1,9.46E-85,340.0838244
P40463,Protein VHS2,VHS2,YIL135C,4,4,14,6.87E-45,340.1887292
P53753,"Endo-1,3(4)-beta-glucanase 1",DSE4,YNR067C,7,7,11.1,8.46E-137,340.483188
P53166,"ATP-dependent RNA helicase MRH4, mitochondrial",MRH4,YGL064C,13,13,32.4,2.68E-70,341.7186603
P00424,"Cytochrome c oxidase polypeptide 5A, mitochondrial",COX5A,YNL052W,2,1,16.3,3.00E-12,341.9069426
P38332,Diphthamide biosynthesis protein RRT2,RRT2,YBR246W,7,7,25.6,1.13E-50,341.9759988
P53133,Uncharacterized protein YGL117W,YGL117W,YGL117W,5,5,27.9,3.94E-80,342.2206921
Q03322,T-SNARE affecting a late Golgi compartment protein 1,TLG1,YDR468C,4,4,23.2,9.67E-17,342.683384
P36163,Mitochondrial metalloendopeptidase OMA1,OMA1,YKR087C,7,7,22.3,4.91E-43,342.9287165
P41735,Catabolite repression protein CAT5,CAT5,YOR125C,4,4,29.2,4.09E-97,343.2104995
P53853,Vacuolar protein sorting-associated protein 75,VPS75,YNL246W,4,4,20.1,8.81E-07,343.5459055
P27637,Bud site selection protein 14,BUD14,YAR014C,9,9,19.7,1.34E-38,343.819143
P40206,Protein JLP2,JLP2,YMR132C,5,5,36.5,2.42E-83,344.4297218
P36094,Spindle pole body component SPC42,SPC42,YKL042W,8,8,24,1.84E-37,344.497731
P37020,Protein GEF1,GEF1,YJR040W,9,9,17.5,2.25E-74,344.5594313
Q08926,ULP1-interacting protein 4,UIP4,YPL186C,8,8,39.8,9.84E-53,344.6335578
Q05021,Transcription initiation factor TFIID subunit 7,TAF7,YMR227C,14,14,24.7,6.46E-70,344.8785147
Q05789,Uncharacterized protein YLR211C,,YLR211C,5,5,30.1,7.14E-66,344.9889778
P43601,Autophagy-related protein 18,ATG18,YFR021W,5,5,17,2.36E-114,345.2530492
P22211,Nitrogen permease reactivator protein,NPR1,YNL183C,11,11,22.9,1.51E-59,346.121579
P53974,Actin-regulating kinase 1,ARK1,YNL020C,9,9,20.7,2.59E-55,346.1828738
P47112,Cell division cycle protein CDT1,TAH11,YJR046W,9,9,18.9,5.05E-81,347.1560932
P28708,Serine/threonine-protein kinase PRR1,PRR1,YKL116C,13,13,29.7,1.72E-60,347.3257567
P38255,Transcriptional regulatory protein RXT2,RXT2,YBR095C,4,4,11.2,1.40E-44,347.4482066
P06700,NAD-dependent histone deacetylase SIR2,SIR2,YDL042C,11,10,27.8,3.26E-74,347.5846093
Q03406,DNA replication complex GINS protein SLD5,SLD5,YDR489W,7,7,36.7,5.94E-65,348.6162625
Q08553,Protein SYC1,SYC1,YOR179C,3,3,16.5,1.69E-11,350.0412447
P38873,Target of rapamycin complex 1 subunit KOG1,KOG1,YHR186C,23,23,20.7,7.19E-145,350.0526049
P53728,Peptidyl-prolyl cis-trans isomerase CYP8,CPR8,YNR028W,4,4,15.6,1.06E-20,350.2477487
P38086,DNA repair and recombination protein RDH54;DNA topoisomerase;Putative helicase,RDH54,YBR073W,26,26,35.9,1.64E-154,351.6259543
Q12476,Protein AIR2,AIR2,YDL175C,7,7,30.5,1.99E-50,351.9274855
Q9URQ5,High temperature lethal protein 1,HTL1,YCR020W-B,1,1,26.9,1.69E-05,352.2770539
P53924,E3 ubiquitin-protein ligase DMA2,DMA2,YNL116W,3,3,7.3,3.21E-57,353.0459063
Q07350,Pre-mRNA-splicing factor PRP11,PRP11,YDL043C,7,7,28.9,2.09E-27,353.2487688
Q12066,Nuclear rim protein 1,NUR1,YDL089W,10,10,29.3,1.35E-48,353.5663669
P41812,Ribonucleases P/MRP protein subunit POP1,POP1,YNL221C,14,14,24.2,2.74E-163,353.5955302
Q08816,Uncharacterized protein YOR352W,YOR352W,YOR352W,7,7,28,3.77E-39,354.5897215
Q08269,Magnesium transporter ALR1,ALR1,YOL130W,9,9,13,2.12E-46,355.8749963
P53725,M-phase phosphoprotein 6 homolog,MPP6,YNR024W,5,5,35.5,8.27E-28,357.0687489
P53125,Imitation switch two complex protein 1,ITC1,YGL133W,26,26,25.1,1.91E-211,357.3466931
P38856,Clathrin coat assembly protein AP180A,YAP1801,YHR161C,5,5,11.5,5.86E-32,357.3946501
P40528,Protein SYG1,SYG1,YIL047C,6,6,8.4,1.07E-80,357.8761317
P53871,Probable glutamine amidotransferase DUG3,DUG3,YNL191W,4,4,19.3,9.94E-56,358.0515778
P40356,Mediator of RNA polymerase II transcription subunit 3,PGD1,YGL025C,5,5,17.6,4.67E-37,359.7116797
Q12163,NAP1-binding protein 2,NBP2,YDR162C,3,3,20.3,2.34E-35,360.3148
P34072,Negative regulator of RAS-cAMP pathway,MKS1,YNL076W,10,10,28.3,1.54E-60,360.7120278
P53971,FKBP12-associated protein 1,FAP1,YNL023C,19,19,29.2,2.73E-140,361.0074692
P10961,Heat shock factor protein,HSF1,YGL073W,12,12,22.3,4.25E-89,361.4003814
P35728,Protein MPE1,MPE1,YKL059C,9,9,21.5,7.12E-32,361.9050445
Q03466,Protein EBS1,EBS1,YDR206W,11,11,15.5,4.56E-62,362.7187613
Q08650,Diacylglycerol O-acyltransferase 1,DGA1,YOR245C,5,5,15.6,1.59E-21,362.8481187
P31334,"54S ribosomal protein L9, mitochondrial",MRPL9,YGR220C,7,7,25.7,9.12E-38,363.8566448
Q07834,KH domain-containing protein YLL032C,YLL032C,YLL032C,14,14,22.5,3.08E-84,363.9145508
P32844,Exocyst complex component SEC6,SEC6,YIL068C,14,14,17,2.28E-52,363.9306757
P09547,SWI/SNF chromatin-remodeling complex subunit SWI1,SWI1,YPL016W,25,25,25,4.90E-176,363.9422111
P13902,Protein INO4,INO4,YOL108C,5,5,47,9.02E-26,364.1845793
P53201,SWR1-complex protein 4,SWC4,YGR002C,12,12,32.4,1.08E-72,365.8208939
P47048,Uncharacterized protein YJL049W,,YJL049W,15,15,36.4,1.25E-64,366.6888329
Q04053,Sorting nexin-41,SNX41,YDR425W,10,10,18.9,5.76E-90,367.2436893
Q08952,Oxidation resistance protein 1,OXR1,YPL196W,3,3,15.8,4.31E-18,368.0489835
Q03246,"37S ribosomal protein S17, mitochondrial",MRPS17,YMR188C,4,4,21.1,7.12E-18,368.3148696
P32047,Protein MLF3,MLF3,YNL074C,5,5,15.7,1.38E-47,368.9432609
P53388,Dicarboxylic amino acid permease,DIP5,YPL265W,6,6,16.4,4.00E-20,369.1291396
Q12508,Sporulation protein RMD5,RMD5,YDR255C,13,13,40.4,1.57E-78,369.1677252
P40416,"Iron-sulfur clusters transporter ATM1, mitochondrial",ATM1,YMR301C,12,12,21.4,8.52E-94,369.9577716
Q01722,Glycolytic genes transcriptional activator GCR2,GCR2,YNL199C,7,7,26.4,9.34E-81,370.185498
P15436,DNA polymerase delta catalytic subunit,POL3,YDL102W,20,20,21.8,3.06E-83,370.5755842
Q02933,Ribonuclease T2-like,RNY1,YPL123C,6,6,24.9,5.66E-74,371.0586234
P18238,"ADP,ATP carrier protein 3",AAC3,YBR085W,4,3,13,2.04E-17,371.3482308
P33203,Pre-mRNA-processing protein PRP40,PRP40,YKL012W,14,14,29.7,1.43E-95,372.463323
Q12523,WD repeat-containing protein YPL247C,YPL247C,YPL247C,8,8,27.9,1.38E-63,372.6133392
Q02457,Protein TBF1,TBF1,YPL128C,8,8,11.6,1.33E-19,372.6857532
P0CX81;P0CX80,Copper metallothionein 1-2;Copper metallothionein 1-1,CUP1-2;CUP1-1,YHR053C;YHR055C;YHR053C;YHR055C,1,1,21.3,4.71E-07,373.0009611
P40541,Cohesin subunit SCC3,IRR1,YIL026C,16,16,16.4,2.41E-118,373.4159414
P17121,GTPase-activating protein SAC7,SAC7,YDR389W,11,11,23.4,1.91E-72,373.5391919
Q05530,Glutaredoxin-like protein YDR286C,YDR286C,YDR286C,4,4,40.4,2.79E-21,373.576983
P08004,Chitin synthase 1,CHS1,YNL192W,18,18,21.4,4.18E-121,374.7606687
